Наименование товара;Артикул;Розничная цена;Остаток на складе
Нагреватель для воды аквариума Newa Therm Next NTX300 220-240V 50Hz 300W с терморегулятором автоматический 100-400 л;00_87_005;3040.00;0
Нагреватель для воды аквариума Newa Therm Mini NWO-10P 230V 50Hz 10W автоматический до 15 л;00_35_056;1740.00;0
Нагреватель для воды аквариума Newa Therm Mini NWO-20K 230V 50Hz 20W автоматический до 30 л;00_35_057;1720.00;20
Нагреватель для воды аквариума Newa Therm Mini NWO-20P 230V 50Hz 20W автоматический до 30 л;00_35_058;1840.00;0
Помпа погружная для аквариума Newa Jet NJ400 400 л/час;00_34_060;1440.00;10
Помпа погружная для аквариума Newa Jet NJ600 600 л/час;00_34_061;1890.00;38
Помпа погружная для аквариума Newa Jet NJ800 многоцелевая 800 л/час;00_32_055;2310.00;37
Помпа погружная для аквариума Newa Jet NJ1200 многоцелевая 1200 л/час;00_32_056;2870.00;40
Помпа погружная для аквариума Newa Jet NJ1700 многофункциональная 1700 л/час;00_33_055;4670.00;8
Нагреватель для аквариума Newa Therm VTX25 220-240V 50Hz 25W с терморегулятором автоматический 20-30 л;00_12_560;1760.00;0
Нагреватель для аквариума Newa Therm VTX50 220-240V 50Hz 50W с терморегулятором автоматический 30-80 л;00_12_561;2190.00;24
Нагреватель для аквариума Newa Therm VTX75 220-240V 50Hz 75W с терморегулятором автоматический 20-100 л;00_12_562;1790.00;3
Нагреватель для аквариума Newa Therm VTX100 220-240V 50Hz 100W с терморегулятором автоматический 30-150 л;00_12_563;1790.00;0
Нагреватель для аквариума Newa Therm VTX150 220-240V 50Hz 150W с терморегулятором автоматический 50-200 л;00_12_564;1950.00;3
Нагреватель для аквариума Newa Therm VTX200 220-240V 50Hz 200W с терморегулятором автоматический 80-300 л;00_12_565;1950.00;0
Нагреватель для аквариума Newa Therm VTX250 220-240V 50Hz 250W с терморегулятором автоматический 100-400 л;00_12_566;2040.00;0
Нагреватель для аквариума Newa Therm VTX300 220-240V 50Hz 300W с терморегулятором автоматический 150-200 л;00_12_567;2540.00;24
Нагреватель для воды аквариума Newa Therm Eco VTO25 220-240V 50Hz 25W с терморегулятором автоматический 20-30 л;00_36_110;1270.00;8
Нагреватель для воды аквариума Newa Therm Eco VTO50 220-240V 50Hz 50W с терморегулятором автоматический 20-50 л;00_36_111;1600.00;21
Нагреватель для воды аквариума Newa Therm Eco VTO100 220-240V 50Hz 100W с терморегулятором автоматический 30-150 л;00_36_112;1370.00;7
Нагреватель для воды аквариума Newa Therm Eco VTO150 220-240V 50Hz 150W с терморегулятором автоматический 50-150 л;00_36_113;1750.00;24
Нагреватель для воды аквариума Newa Therm Eco VTO200 220-240V 50Hz 200W с терморегулятором автоматический 100-300 л;00_36_114;1810.00;11
Нагреватель для воды аквариума Newa Therm Eco VTO300 220-240V 50Hz 300W с терморегулятором автоматический 150-400 л;00_36_115;1620.00;0
Нагреватель для воды аквариума Newa Therm Next NTX50 220-240V 50Hz 50W с терморегулятором автоматический 20-80 л;00_87_001;2150.00;23
Нагреватель для воды аквариума Newa Therm Next NTX100 220-240V 50Hz 100W с терморегулятором автоматический 20-150 л;00_87_002;2250.00;15
Нагреватель для воды аквариума Newa Therm Next NTX150 220-240V 50Hz 150W с терморегулятором автоматический 50-200 л;00_87_003;2340.00;10
Нагреватель для воды аквариума Newa Therm Next NTX200 220-240V 50Hz 200W с терморегулятором автоматический 80-300 л;00_87_004;2380.00;0
Помпа погружная для аквариума Newa Micro MC320 микронасос;00_15_155;1240.00;0
Помпа погружная для аквариума Newa Micro MC450 микронасос;00_15_156;1470.00;16
Помпа погружная для аквариума Newa Mini MN404 мини-насос;00_06_155;1450.00;13
Помпа погружная для аквариума Newa Maxi MJ250 многофункциональная;00_05_516;1730.00;15
Помпа погружная для аквариума Newa Maxi MJ500 многофункциональная;00_05_517;1930.00;14
Помпа погружная для аквариума Newa Maxi MJ750 многофункциональная;00_05_518;2220.00;26
Помпа погружная для аквариума Newa Maxi MJ1000 многофункциональная;00_05_519;2710.00;0
Помпа течения погружная для аквариума Newa Maxi power head MP400;00_05_520;1780.00;11
Помпа течения погружная для аквариума Newa Maxi power head MP600;00_05_521;2020.00;13
Фильтр внешний для аквариума Newa Kanist NKF250 220/240V канистровый 60-250 л;00_88_001;8690.00;0
Фильтр внешний для аквариума Newa Kanist NKF450 220/240V канистровый 310-450 л;00_88_003;18100.00;1
Фильтр погружной для аквариума Newa Duetto DJ100 230V с системой аэрации на 80 л;00_08_106;2050.00;0
Фильтр погружной для аквариума Newa Duetto DJ150 230V с системой аэрации на 120 л;00_08_107;2360.00;1
Фильтр погружной для аквариума Newa Micro MCF40 230V с системой аэрации 40 л;00_24_055;1710.00;15
Фильтр погружной для аквариума Newa Micro MCF70 230V с системой аэрации 70 л;00_24_056;1560.00;0
Фильтр погружной для аквариума Newa Motion NWM300 230V с помпой 20-60 л;00_38_070;2270.00;12
Шланг гибкий прозрачный ПВХ 4/6, 3 м для аквариума к фильтрам, помпам, компрессорам;00_66_035;356.00;-1
Шланг силиконовый 4/6, 2,5 м для аквариума, полива, дренажа, пищевых жидкостей;00_66_038;722.00;20
Фильтр воздушный для компрессора аэратора Newa Wind 2 шт.;00_66_051;196.00;5
Фильтр погружной для аквариума Newa Duetto DJ50 230V с системой аэрации на 50 л;00_08_105;2220.00;0
Аквариум Newa More NMO 20, 18 л, черный ;00_85_001;9430.00;0
Аквариум Newa More NMO 20W, 18 л, белый ;00_85_011;9430.00;5
Аквариум Newa More NMO 50, 45 л с нагревателем, черный;00_85_051;17400.00;0
Аквариум Newa More reef NMO 30R, 28 л с нагревателем черный ;00_85_050;17400.00;0
Аквариум Newa More reef NMO 30RW, 28 л с нагревателем, белый ;00_85_070;17400.00;4
Компрессор аэратор для аквариума Newa Wind NWS на 5-30 л 80 л/ч;00_26_065;1280.00;15
Компрессор аэратор для аквариума Newa Wind NW1 на 20-60 л 90 л/ч;00_26_060;1330.00;24
Компрессор аэратор для аквариума Newa Wind NW2 регулируемый на 40-100 л 110 л/ч;00_26_061;1640.00;7
Компрессор аэратор для аквариума Newa Wind NW3 регулируемый на 100-160 л 200 л/ч;00_26_062;2050.00;6
Компрессор аэратор для аквариума Newa Wind NW22 регулируемый на 100-300 л 2х100 л/ч;00_26_063;2800.00;29
Комплект для компрессора аэратора Newa Wind с шлангом ПВХ 4/6 2,5 м ;00_66_034;746.00;11
Перосъёмные пальцы PR948-50;DI948SH50;52.00;0
Матрица 2 мм для гранулятора G150;DIE20;11800.00;5
Матрица 3 мм для гранулятора G150;DIE30;9860.00;0
Матрица 6 мм для гранулятора G150;DIE60;9860.00;8
Перосъёмная машина NT-600 для бройлеров, кур и уток;NT-600;45600.00;205
Перосъёмные пальцы PR948-60;DI948SH60;52.00;0
Лоток для куриных яиц синий;YL5216-BLU;177.00;27
Лоток для куриных яиц желтый;YL5216-YEL;177.00;45
Лоток для кормления цыплят диаметр 40 см;YL5101-40;423.00;68
Лоток для кормления цыплят диаметр 50 см;YL5101-50;478.00;1
Лоток для кормления цыплят диаметр 63 см;YL5101-63;534.00;71
Лоток для кормления цыплят 54*35*4 см;YL5102;581.00;22
Кольца резиновые для кастрации;YL4306;7.00;5000
Клетка для кроликов PENTA 2 105 см двухсекционная;10950;16500.00;8
Инкубатор Rcom King Suro 20 MAX автоматический для яиц;MX-SURO;30100.00;150
Щипцы для кастрации натяжные;YL4304;1070.00;0
Гнездо для кроликов Nido-Cuni для клеток Copele;10960;4190.00;2
Клетка для кроликов MARSELLA 95 см односекционная;11485;13400.00;9
Клетка для кроликов PENTA 3 157 см двухсекционная;10965;20900.00;8
Поилка чашечная автоматическая для кроликов;35025;841.00;89
Поилка чашечная  автоматическая для кроликов;10372;565.00;0
Поилка чашечная автоматическая Logis для кроликов горизонтальный подвод;10370;565.00;26
Кормушка педальная Safeed 6 кг;30760;8300.00;5
Кормушка педальная Safeed 12 кг;30761;10500.00;6
Кормушка педальная Safeed 20 кг;30769;9010.00;2
Кормушка педальная Safeed 30 кг;30762;11100.00;0
Кормушка педальная Safeed 40 кг;30763;16100.00;5
Поилка автоматическая с ёмкостью и шлангом для птиц, пластик;11660;4530.00;0
Емкость для воды 10 л для системы поения;89315;1320.00;0
Емкость для воды 20 л для системы поения;89320;2280.00;0
Шланг диаметр 8х14 мм, средней жесткости, 1 м;25500;244.00;67
Фильтр для шланга 10 мм без крана;25501;325.00;10
Фильтр для шланга 10 мм с краном;25502;687.00;22
Поилка автоматическая для птиц, пластик, красная;11625;1610.00;0
Поилка автоматическая для птиц, пластик, фиолетовая;11626;2150.00;25
Клетка для кроликов PENTA 3 157 см трехсекционная;10963;23000.00;10
Гнездо для голубей диаметр 25 см;70222;906.00;0
Гнездо для кур несушек Confort пластик с яйцесборником;30894;3140.00;0
Гнездо для высиживания яиц Confort;30911;3400.00;22
Гнездо для кур несушек Platinum наружное крепление;30901;6410.00;7
Гнездо для кур несушек Platinum наружное крепление, 2 секции;30902;10400.00;10
Гнездо для кур несушек 4 секции с яйцесборником;10103;18900.00;0
Ниппель поения (360 градусов) пластик резьба 1/8 70-80 мл/мин;4024-00;108.00;17102
Регулятор давления серединный в сборе L3200 +  доп. арт. 0301105200;3206-00;8170.00;117
Наполнитель для фильтра CARBO-ACTIVE, пеллеты, 300 гр;00_11_230;524.00;40
Наполнитель для фильтра CARBO-ACTIVE, гранулы, 300 гр;00_11_231;458.00;0
Наполнитель для фильтра CARBO-ACTIVE, смесь, 300 гр;00_11_232;629.00;11
Наполнитель для фильтра ANTI-NITRATE, 140 гр;00_11_240;830.00;15
Наполнитель для фильтра ANTI-PHOSPHATE, 100 гр;00_11_241;586.00;0
Наполнитель для фильтра ACTIVE-ZEOLITE, 1 л;00_11_242;524.00;0
Фильтрующий слой для фильтра Newa Kanist NKF250-NKF350;00_188_001;546.00;11
Картридж Aqua Diamante Small для фильтра Cobra Mini и CF75, угольный 2 шт.;00_11_270;720.00;51
Картридж Aqua Diamante Plus Small для фильтра Cobra Mini и CF75, смесь 2 шт.;00_11_272;758.00;50
Картридж Aqua Diamante Plus Large для фильтра Cobra 130/175, Duetto 50/150/100 смесь 2 шт.;00_11_273;801.00;32
Наполнитель для фильтра MICROCERAMIC, 300 гр;00_11_233;506.00;0
Наполнитель для фильтра CERAMIC HI-Q, керамика, 550 гр;00_11_234;744.00;13
Наполнитель для фильтра BIOGLOBE, шарики, 1 л;00_11_237;518.00;0
Бирка двойная для свиней 40*50 мм, зелёная, 100 шт.;YL1147-GRE;4780.00;1
Бирка двойная для свиней 40*50 мм, оранжевая, 100 шт.;YL1147-ORA;4780.00;2
Бирка двойная круглая 30 мм, оранжевая с номером, 100 шт.;YL1131-ORA;1470.00;10
Бирка двойная круглая 30 мм, зелёная с номером, 100 шт.;YL1131-GRE;1470.00;11
Кольцо против самовыдаивания, 10,5х7,5 см, желтый;YL4510Y;44.00;915
Ножи для обработки копыт 2 шт. правый и левый;YL4409;883.00;0
Стакан для обработки вымени после доения, 300 мл;YL4530;397.00;111
Кормушка-поилка лотковая 30 см пластик для цыплят;XM0509-16;213.00;137
Поилка ниппельная 360 градусов на шланг для кур, бройлеров, цыплят, перепелов;YL5314;44.00;437
Поилка ниппельная с каплеуловителем;YL5303;40.00;25127
Шланг диаметр  7,5х9,5 мм, 1 м;YL9015;86.00;24
Кормушка-поилка лотковая 50 см пластик для цыплят;XM0509-28;302.00;201
Кормушка бункерная для кроликов 12х10х13 см пластик без крышки;XM0003;177.00;52
Бирка двойная прямоугольная 50*18 мм жёлтая, 100 шт.;YL1105-YEL;1470.00;0
Бирка двойная прямоугольная 50*18 мм оранжевая, 100 шт.;YL1105-ORA;1470.00;10
Бирка двойная прямоугольная 50*18 мм зелёная, 100 шт.;YL1105-GRE;1470.00;30
Бирка двойная для свиней 40*50 мм жёлтая с номером, 100 шт.;YL1108K-YEL;2940.00;6
Бирка двойная для свиней 40*50 мм оранжевая с номером, 100 шт.;YL1108K-ORA;2940.00;10
Бирка двойная для свиней 40*50 мм зелёная с номером, 100 шт.;YL1108K-GRE;2940.00;6
Бирка двойная для КРС 75*60 мм жёлтая с номером, 50 шт.;YL1160-75-60-YEL;4050.00;2
Бирка двойная для КРС 75*60 мм оранжевая с номером, 50 шт.;YL1160-75-60-ORA;4050.00;6
Бирка двойная прямоугольная 50*18 мм жёлтая с номером, 100 шт.;YL1108L-YEL;2210.00;9
Бирка двойная прямоугольная 50*18 мм оранжевая с номером, 100 шт.;YL1108L-ORA;2210.00;10
Бирка двойная прямоугольная 50*18 мм зелёная с номером, 100 шт.;YL1108L-GRE;2210.00;10
Бирка двойная круглая 30 мм, жёлтая с номером, 100 шт.;YL1131-YEL;1470.00;12
Бирка двойная для свиней 40*50 мм, жёлтая, 100 шт.;YL1147-YEL;4780.00;0
Бирка двойная для овец 75*60 мм жёлтая с номером, 100 шт.;YL1108J-YEL;3900.00;7
Бирка двойная для овец 75*60 мм оранжевая с номером, 100 шт.;YL1108J-ORA;3900.00;2
Бирка двойная для овец 75*60 мм зелёная с номером, 100 шт.;YL1108J-GRE;3680.00;6
Бирка двойная для КРС 75*60 мм голубая с номером, 50 шт.;YL1160-75-60-BLU;4050.00;3
Бирка двойная для КРС 40*50 мм оранжевая с номером, 100 шт.;YL1160-40-50-ORA;3680.00;1
Бирка двойная для КРС 40*50 мм голубая с номером, 100 шт.;YL1160-40-50-BLU;3680.00;7
Бирка двойная для КРС 40*50 мм жёлтая с номером, 100 шт.;YL1160-40-50-YEL;3680.00;1
Каплеуловитель на круглую  и квадратную трубы, на одной ножке;YL5325;58.00;706
Лоток для куриных яиц зеленый;YL5216-GRE;177.00;125
Поилка ниппельная для кур-несушек и бройлеров с креплением на трубу;YL5301;35.00;16774
Совок для корма, пластик, зеленый;YL3256G;177.00;213
Совок для корма, металл;YL3246;287.00;113
Кормушка бункерная 1 кг с круглыми отверстиями;XM3319RED;250.00;603
Поилка вакуумная для домашней птицы 1 л, синий;XM0501BLU;184.00;59
Когтеточка-комплекс 35х35х88 см с цилиндром, бежевый;SBE812-2;5550.00;217
Когтеточка-комплекс 30х30х88 см с цилиндром, бежевый;SBE812-3;5260.00;222
Кормушка лотковая 50 см пластик для цыплят;11636;1340.00;6
Поилка вакуумная 5 л с пробкой и ручкой, поддон 8 см;11066;1640.00;1
Поилка вакуумная 8 л с пробкой и ручкой, поддон 8 см;11067;1970.00;44
Поилка вакуумная 12 л с пробкой и ручкой, поддон 8 см;11068;2100.00;0
Кормушка бункерная 5 кг оцинкованная сталь;11160;3080.00;28
Поилка чашечная автоматическая для птиц;12060;614.00;39
Гнездо для кур несушек Platinum, на ножках, с яйцесборником;10122;10500.00;21
Гнездо для кур несушек Platinum, 2 секции, на ножках, с яйцесборником;10132;12900.00;5
Гнездо для кур несушек Platinum, 3 секции, на ножках, с яйцесборником;10142;18300.00;5
Поилка вакуумная 1 л;10919;374.00;115
Очки от расклева для птиц, кур, петухов, фазанов со стрелой, 25 шт.;14200;305.00;227
Держатель для соли пластик;60291;1450.00;13
Держатель для соли металл;60290;4510.00;28
Поилка ниппельная с каплеуловителем двойная на трубу 3/4;YL5304;85.00;23844
Скобы м-образные для скобообжимного инструмента, 1.7 см;YL5204;239.00;5095
Клипсатор ручной для сетки;YL8045;423.00;8
Очки от расклева для птиц, кур, петухов, фазанов со стрелой, 1000 шт.;XM1408;1770.00;0
Поилка вакуумная 15 л с ручкой;YL5338-15;714.00;1
Поилка вакуумная 10 л с ручкой;YL5338-10;648.00;535
Поилка вакуумная 8 л с ручкой;YL5338-8;570.00;0
Поилка вакуумная 6 л с ручкой;YL5338-6;412.00;452
Поилка вакуумная 3 л с ручкой;YL5338-3;276.00;16
Поилка вакуумная 1.5 л с ручкой;YL5338-1.5;213.00;501
Поилка вакуумная 1 л с ручкой;YL5338-1;147.00;557
Кормушка бункерная 1,5 кг пластик с разделительной решеткой ;YL5106-1.5;147.00;470
Кормушка бункерная 3 кг пластик с разделительной решеткой ;YL5106-3;287.00;604
Кормушка бункерная 6 кг пластик с разделительной решеткой ;YL5106-6;405.00;368
Кормушка бункерная 9 кг пластик с разделительной решеткой ;YL5106-9;618.00;1166
Поилка чашечная автоматическая с медным клапаном;YL4119;1180.00;0
Поилка чашечная пластиковая с клапаном;YL4118;442.00;102
Поилка автоматическая поплавковая 2,5 л для животных, пластик;YL4131;2430.00;0
Биркач для установки ушных бирок универсальный, красный;YL1204-RED;1250.00;226
Щипцы татуировочные 5 знаков, 18,76 мм;YL1216;14700.00;14
Кормушка бункерная для кроликов;YL9012;118.00;1790
Погонялка для скота аккумуляторная 540 мм;YL3258-540;9020.00;0
Погонялка для скота аккумуляторная 800 мм;YL3258-800;9020.00;0
Погонялка для скота аккумуляторная 640 мм;YL3258-640;9020.00;0
Кормушка-поилка нержавеющая сталь для поросят;YL3107;1240.00;2062
Поилка кнопочная для свиноматок;YL3429;361.00;33
Поилка ниппельная для свиноматок, откормочных свиней и молодняка 1/2 дюйма;YL3446;169.00;1747
Маркер для бирок чёрный;YL1602;368.00;9
Маркер MZA для ушных бирок, чёрный;YL1603;1290.00;7
Аквариум Newa Hobby NH 20, 20 л с фильтром, крышкой и LED освещением;00_25_010;7810.00;44
Аквариум Newa Hobby NH 30, 30 л с фильтром, крышкой и LED освещением;00_25_011;9590.00;25
Аквариум Newa Hobby NH 60, 60 л с фильтром, нагревателем, крышкой и LED освещением;00_25_012;13800.00;0
Креветочник Newa More Сaridinae NMO 20 W CRNE с нагревателем, крышкой, 18 л, белый;00_85_013;11300.00;1
Аквариум Newa More reef NMO 50RW, 45 л с нагревателем, белый ;00_85_072;21300.00;0
Инструмент скобообжимной для клеток автоматический 8-12 мм, красный + скобы;YL5361_Red;4140.00;6
Инструмент скобообжимной для клеток автоматический ;YL5205;802.00;1178
Каплеуловитель для трубы 22х22 мм на одной ножке, М;10037;74.00;390
Когтеточка для кошек картонная двусторонняя с мятой 44х23х4 см;PSP012;601.00;1246
Когтеточка для кошек картонная двусторонняя с мятой 45х21х5,5 см;PSP014;665.00;667
Когтеточка для кошек картонная двусторонняя с мятой 45х21х7,5 см;PSP015;665.00;296
Когтеточка для кошек картонная двусторонняя с мятой 43х21х6,5 см;PSP018;639.00;1625
Кормушка бункерная 1 кг пластик с круглыми отверстиями;11215;609.00;82
Кормушка бункерная 10 кг оцинкованная сталь;11110;4590.00;15
Кормушка лотковая 100 см оцинкованная сталь для цыплят и мелкой птицы;11335;2140.00;6
Кормушка лотковая 50 см оцинкованная сталь для цыплят и мелкой птицы;11320;1760.00;22
Кормушка бункерная 20 кг оцинкованная сталь;11100;5910.00;7
Кормушка лотковая 100 см пластик для цыплят;11646;1930.00;37
Поилка-кормушка навесная диаметр 10 см алюминий;AB100;407.00;22
Емкость с ниппельным поением 12 л;D12N;3190.00;23
Поилка ниппельная для кроликов и птиц с удлинителем 6 см;10041-1;182.00;0
Поилка ниппельная для кроликов и птиц с удлинителем 6 см 90°;10041-4;201.00;242
Поилка ниппельная для кроликов и птиц с бачком 1 л 90° Monoflo;10041-6;527.00;13
Поилка ниппельная для кроликов с удлинителем 9 см;10041-3;154.00;0
Муфта гибкая для трубы 22х22 мм;20015;59.00;984
Кольца меточные 20 мм спиральные для птиц, 100 шт.;049/20M;3530.00;0
Поилка кнопочная Optiflo для хряков и быков 105 мм 3/4 наружная;10055-B;1100.00;0
Поилка ниппельная с чашей для поросят до 15 кг 1/2 внутреннее верхнее подключение;10053;1410.00;3
Инструмент для оглушения кроликов перед убоем нержавеющая сталь;10049;5370.00;0
Крепление для ниппельной поилки 15°, нерж. 1/2 - 1/2;1196-1;372.00;203
Крепление для ниппельной поилки 45°, нерж. 1/2 - 1/2;1196-2;372.00;7
Крепление для ниппельной поилки 30°, нерж. 1/2 - 3/4;1196-3-1;519.00;0
Крепление для ниппельной поилки 30°, нерж. 3/4 - 3/4;1196-3-2;519.00;7
Перосъёмные пальцы PR133-60;DI133SH60;52.00;0
Перосъёмные пальцы PR144-60;DI144SH60;48.00;960
Перосъёмные пальцы PR499-50;DI499SH50;54.00;655
Перосъёмные пальцы PR499-60;DI499SH60;54.00;0
Перосъёмные пальцы PRQV-60;DIQV_SH60;53.00;980
Перосъёмная машина NT-500 для бройлеров и кур;NT-500;40200.00;72
Перосъёмная машина NT-550 для бройлеров и кур;NT-550;42800.00;54
Перосъёмные пальцы PR499-55;DI499SH55;54.00;610
Клетка для мелких грызунов ABODE Gerbilarium;19175;5840.00;4
Перосъёмные пальцы PR2020-60;DI2020SH60;58.00;0
Машинка Heiniger Saphir Basic для стрижки собак и кошек;707-300-70A1;22700.00;18
Влагомер сена Wile 500 для измерения в тюках или яме ;7005000-RU1;49800.00;9
Пробоотборник сена;7040245;26500.00;0
Переходник угловой  для трубы 22х22 мм;4358-04;140.00;139
Зажим пластиковый для крепления трубы 22х22 мм;4315-00;41.00;0
Труба квадратная 22х22 мм, 3 м;20010-3;575.00;113
Перосъемные пальцы FN-400;FN-400;28.00;0
Поилка чашечная автоматическая;4007-00;333.00;2
Перосъёмная машина NT-800 для индеек;NT-800;88300.00;1
Медикатор Dosatron D25RE2/0.2-2%;50014;42900.00;154
Медикатор Dosatron D25RE5/1-5%;50015;46900.00;218
Ниппель поения (360 градусов) металл резьба 1/8 35-45 мл/мин;4077;159.00;239
Каплеуловитель для трубы 22х22, на одной ножке 70х70;4622-01;76.00;0
Корыто 750 мм с креплением;10057-075;9310.00;0
Корыто 1500 мм с креплением;10057-150;16800.00;0
Деаэратор концевой;4244-00;2620.00;284
Кормушка-поилка 4 л нерж. cталь для поросят высота 75 мм;10055;2220.00;0
Перосъёмные пальцы PR948-55;DI948SH55;52.00;0
Кормушка бункерная 2 кг пластик с решеткой с круглыми отверстиями на ножках;11149;1240.00;34
Кормушка бункерная 4 кг пластик с решеткой с круглыми отверстиями на ножках;11153;1900.00;33
Кормушка бункерная 8 кг пластик с решеткой с круглыми отверстиями на ножках;11164;2930.00;17
Кормушка бункерная 12 кг пластик с решеткой с круглыми отверстиями на ножках;11174;4080.00;16
Кормушка бункерная 16 кг пластик с решеткой с круглыми отверстиями на ножках;11182;4960.00;4
Поилка вакуумная ECO 1,5 л с ручкой на ножках;10932;658.00;53
Поилка вакуумная ECO 3 л с ручкой на ножках;10937;959.00;175
Поилка вакуумная ECO 5 л с ручкой на ножках;10942;1240.00;116
Поилка вакуумная ECO 10 л с ручкой на ножках;10944;1860.00;131
Поилка вакуумная ECO 8 л с ручкой на ножках;10943;1590.00;122
Кормушка бункерная 21 кг пластик с разделительной решеткой на ножках;11265;7060.00;0
Поилка вакуумная 8 л с винтовой пробкой и ручкой;10981;1520.00;4
Поилка вакуумная 10 л с винтовой пробкой и ручкой;10986;1780.00;86
Кормушка-поилка лотковая 20 см пластик для цыплят, оранжевый;11665;337.00;78
Кормушка-поилка лотковая 40 см пластик для цыплят, оранжевый;11675;601.00;94
Кормушка-поилка лотковая 50 см пластик для кур;11641;1270.00;52
Поилка вакуумная ведро 6 л пластик;11010;2090.00;14
Гнездо для кур несушек 2 секции с яйцесборником;10130;10600.00;16
Гнездо для кур несушек 3 секции с яйцесборником;10140;14600.00;0
Гнездо для кур несушек пластик с яйцесборником;10125;3720.00;0
Поилка чашечная диаметр 50 мм, пластик с креплением на сетку;12110;305.00;91
Поилка чашечная диаметр 80 мм, пластик с креплением на сетку;12025;378.00;51
Поилка навесная с емкостью 0,5 л пластик;12065;577.00;70
Кормушка для голубей 2 секции, пластик;30135;1210.00;0
Поилка навесная с емкостью 2 л пластик;24560;825.00;0
Поилка чашечная автоматическая для птиц и кроликов;45100;999.00;0
Поилка навесная с емкостью 2 л пластик/металл для кроликов и птиц;45000;1030.00;5
Поилка автоматическая с регулируемым клапаном для лошадей и КРС, пластик;60642;7260.00;17
Ведро с 3 сосками для поения ягнят, жеребят, телят 8 л;60320;4700.00;2
Медикатор MixRite 2.5 (0.4%-4%, 7-2500л/час) PO, LFR;2802040P000;27600.00;66
Рефлектор светильник 250 Вт для ИК ламп металл, шнур 2,5 м;LP300/14G-EU;2090.00;142
Рефлектор светильник 250 Вт для ИК ламп металл, с переключателем Hi-Off-Lo шнур 2,5 м;LP300S/14G-EU;2430.00;867
Лампа инфракрасная 150 Вт E27 R125 InterHeat красная;150R125/R/2;984.00;198
Лампа инфракрасная 175 Вт InterHeat красная;175PAR/R/2;1050.00;0
Кольцо против самовыдаивания, 10,5х7,5 см, оранжевый;YL4510O;44.00;20
Туалет Catidea 44х44х25 см высокий борт, с совком, розовый;CL201-Pink;2200.00;126
Нагревательный кабель для поилок 5 Вт ;DBVK5;2440.00;0
Нагревательный кабель для поилок 10 Вт ;DBVK10;2810.00;2
Нагреватель для поилок с зажимами, диаметр 25 см;DBV25;5240.00;0
Нагреватель для поилок с зажимами, диаметр 30 см ;DBV30;6010.00;4
Крышка для обогревательной панели Comfort пластик 25х25 см;WP-25C;801.00;15
Крышка для обогревательной панели Comfort пластик 40х40 см;WP-40C;1700.00;9
Кормушка для сена, вертикальная загрузка, 15 см;R1;304.00;51
Кормушка для сена, вертикальная загрузка, 20 см;R2;337.00;32
Кормушка для сена, вертикальная загрузка, 25 см;R3;370.00;50
Кормушка для сена, вертикальная загрузка, 30 см;R4;437.00;46
Кормушка для сена, горизонтальная загрузка, 32х18х12 см;R5;507.00;74
Кормушка для сена, горизонтальная загрузка, 24х18х12 см;R5A;455.00;99
Кормушка для сена, горизонтальная загрузка, 33х22х13 см;R6;833.00;0
Пластиковый пол для кроликов и кур 25х25 см зеленый;KR-25;496.00;76
Сетевой адаптер для машинки Saphir ;707-720;7340.00;7
Зарядное устройство для машинки Saphir;707-822A;8280.00;0
Автокормушка Petwant PF-21B 10,6 л для сухого корма, белая;PF-21B;8900.00;0
Автокормушка Petwant F1-Camera 4,3 л для сухого корма с видеокамерой, Wi-Fi (IOS/Android), черная;F1-Camera-Black;16900.00;105
Ошейник для дрессировки, дальность 400 м;PTS-018;8100.00;3
Ошейник для дрессировки, дальность 800 м;PET-613;6230.00;0
Машинка для стрижки собак и кошек Petwant белая/красная;PHC-816;4110.00;2
Двигатель для машинки Saphir;707-800-21;2300.00;6
Отвертка;701-646;1160.00;0
Щетка для очистки;701-651;116.00;0
Кейс для машинки для стрижки Heiniger X-Series;708-190;2640.00;1
Аккумулятор для машинок Heiniger Saphir;707-771;5910.00;13
Поилка автоматическая поплавковая с боковым подводом 4 л для коров, овец, лошадей, собак, пластик;2158A0000;6400.00;0
Переходник угловой для квадратной трубы 22х22 мм на диаметр  22 мм;4317;118.00;199
Туалет Catidea 63х45х25 см, XL, с совком, коричневый;CL211-Rock;2670.00;0
Туалет Catidea 51х38х25 см высокий борт, с совком, коричневый;CL212-Rock;2040.00;2
Установка для убоя птицы 12 конусов карусельная нержавеющая сталь;462-090;244900.00;0
Установка для убоя птицы 8 конусов карусельная нержавеющая сталь;462-080;138700.00;0
Конус для убоя птицы h23 см нержавеющая сталь;462-100;5990.00;0
Конус для убоя птицы h28 см нержавеющая сталь 1G;462-150;7130.00;0
Конус для убоя птицы h32 см нержавеющая сталь;462-200;9510.00;0
Конус для убоя птицы h42 см нержавеющая сталь;462-400;12000.00;0
Конус для убоя птицы h58 см нержавеющая сталь;462-450;24600.00;0
Кронштейн для крепления конуса нержавеющая сталь;461-402;3310.00;0
Установка для убоя птицы 3 конуса нержавеющая сталь;462-300;34900.00;0
Установка для убоя птицы 5 конусов нержавеющая сталь;462-500;53600.00;0
Установка для убоя птицы 8 конусов нержавеющая сталь;462-800;75800.00;0
Овоскоп ОН-10 настольный;ОН-10;1610.00;29
Ножницы Berger для стрижки овец, коз и баранов, одинарные 28 см;2711;2550.00;36
Ножницы Berger для стрижки овец, коз и баранов, двойные 28 см;2721;2990.00;37
